Name,Type,Foundation,Price,Size,Length,Width,Bedrooms,Bathrooms,Lofts,Misc,Location,Link,City,State,Country,Days on site,Number of views,Times dreamlisted
RV Retreat Jayco 2011,RV,Mobile,15000,425.0,40.0,8.5,1.0,1.0,0.0,Square Feet,"Hampton Bays, New York, United States",https://tinyhouselistings.com/listings/rv-retreat-jayco-2011,Hampton Bays,New York,United States,29.0,0.0,65.0
Beautiful 26' Tiny House For Full-Time Living,Tiny House,Mobile,79500,180.0,26.0,8.0,1.0,1.0,1.0,Used,"Waterloo, Iowa, United States",https://tinyhouselistings.com/listings/beautiful-26-tiny-house-for-full-time-living,Waterloo,Iowa,United States,29.0,0.0,26.0
Travels with Tallulah!,Camper,Mobile,15000,80.0,18.0,6.0,0.0,1.0,1.0,Used,"North Pownal, Vermont, United States",https://tinyhouselistings.com/listings/travels-with-tallulah,North Pownal,Vermont,United States,7.0,0.0,43.0
Beautiful Off-Grid Capable Skoolie,Converted Bus,Mobile,47500,210.0,31.75,8.0,1.0,1.0,0.0,Delivery Available,"Antonito, Colorado, United States",https://tinyhouselistings.com/listings/beautiful-off-grid-capable-skoolie,Antonito,Colorado,United States,30.0,0.0,68.0
Brand NEW Furnished Tiny Home w/appliances,Tiny House,Mobile,28000,160.0,20.0,8.0,1.0,1.0,1.0,Delivery Available,"Newport, Oregon, United States",https://tinyhouselistings.com/listings/new-tiny-home-on-the-coast-with-parking,Newport,Oregon,United States,32.0,0.0,76.0
5th Wheel Tiny House Shell Metal Frame Roof Extras,Tiny House Shell,Mobile,35000,296.0,37.0,8.0,1.0,1.0,1.0,New,"Kissimmee, Florida, United States",https://tinyhouselistings.com/listings/gooseneck-tiny-house-shell-metal-frame-roof,Kissimmee,Florida,United States,24.0,0.0,4.0
8’x20’ Sunny Tiny Home 😎,Park Model,Mobile,59500,160.0,20.0,8.0,1.0,1.0,1.0,Delivery Available,"E. Falmouth, Massachusetts, United States",https://tinyhouselistings.com/listings/20-x-8-with-extended-loft,E. Falmouth,Massachusetts,United States,20.0,0.0,7.0
South Austin - established 2017 Park Model,Park Model,Mobile,67000,951.0,65.0,14.0,2.0,2.0,0.0,Used,"Austin, Texas, United States",https://tinyhouselistings.com/listings/south-austin-established-2017-park-model,Austin,Texas,United States,33.0,0.0,60.0
Custom Kona 40' Park Model Tiny House,Park Model,Mobile,101500,399.0,40.0,11.0,1.0,1.0,0.0,Comes With Land,"Austin, Texas, United States",https://tinyhouselistings.com/listings/custom-kona-40-park-model-tiny-house,Austin,Texas,United States,13.0,0.0,42.0
Well-Made Tiny House Built By The Amish,Tiny House,Mobile,42000,136.0,16.0,8.5,0.0,1.0,2.0,Delivery Available,"West Bath, Maine, United States",https://tinyhouselistings.com/listings/well-made-tiny-house-built-by-the-amish,West Bath,Maine,United States,34.0,0.0,26.0
BlueBird 38ft Flat Nose Bus Conversion Ready Januray,Converted Bus,Stationary,38598,296.0,38.0,7.8,1.0,1.0,0.0,New,"San Antonio , Texas, United States",https://tinyhouselistings.com/listings/bluebird-38ft-flat-nose-bus-conversion-ready-januray,San Antonio ,Texas,United States,34.0,0.0,19.0
"Urban RV Tiny Home upgraded with 50"" ROKU/Alcatel HOTSPOT",RV,Mobile,19000,180.0,22.5,8.0,0.0,1.0,0.0,Square Feet,"Brooklyn, New York, United States",https://tinyhouselistings.com/listings/urban-rv-tiny-home-upgraded-with-50-roku-alcatel-hotspot,Brooklyn,New York,United States,34.0,0.0,61.0
26' Modern Farmhouse Tiny Home on Wheels,Tiny House,Mobile,69000,208.0,26.0,8.0,1.0,1.0,2.0,Used,"kent, Washington, United States",https://tinyhouselistings.com/listings/26-modern-farmhouse-tiny-home-on-wheels,kent,Washington,United States,30.0,0.0,153.0
Tiny House on wheels 20' Complete 208 sq ft. (100% Off -Grid Model available),Tiny House,Mobile,36999,208.0,20.0,8.0,1.0,1.0,1.0,New,"Madison, Georgia, United States",https://tinyhouselistings.com/listings/tiny-house-on-wheels-20-complete-208-sq-ft-100-off-grid-model-available,Madison,Georgia,United States,35.0,0.0,108.0
"28' Beautiful White Tiny Home, Farmhouse Interior.",Tiny House,Mobile,78000,224.0,28.0,8.0,1.0,1.0,1.0,Used,"Sanford , Florida, United States",https://tinyhouselistings.com/listings/28-beautiful-white-tiny-home-farmhouse-interior,Sanford ,Florida,United States,35.0,0.0,158.0
Blue Magnolia 28' Tiny House,Tiny House,Mobile,99900,238.0,28.0,8.5,2.0,1.0,2.0,New,"Durango, Colorado, United States",https://tinyhouselistings.com/listings/blue-magnolia-28-tiny-house,Durango,Colorado,United States,35.0,0.0,162.0
The Horizon 28' tiny house with 2 extended lofts to 35' with a roof deck and 2 showers,Tiny House,Mobile,85000,224.0,28.0,8.5,1.0,1.0,2.0,Delivery Available,"Moreno valley , California, United States",https://tinyhouselistings.com/listings/28-tiny-house-with-2-extended-lofts-to-35,Moreno valley ,California,United States,31.0,0.0,70.0
Awesome 24' Tiny Home Ready For You To Add Your Personal Touch,Tiny House,Mobile,28000,204.0,24.0,8.5,1.0,1.0,1.0,Delivery Available,"Royal Palm Beach, Florida, United States",https://tinyhouselistings.com/listings/new-24-tiny-home-with-loft-under-construction-will-be-finished-and-ready-for-delivery-this-week,Royal Palm Beach,Florida,United States,37.0,0.0,56.0
Awesome 24FT Tiny House on Wheels (Custom/Rustic),Tiny House,Mobile,7700,192.0,24.0,8.0,1.0,1.0,0.0,Used,"Fisher, West Virginia, United States",https://tinyhouselistings.com/listings/awesome-24ft-tiny-house-on-wheels-custom-rustic,Fisher,West Virginia,United States,37.0,0.0,33.0
Tiny House With Master Bedroom + 2 Lofts,Tiny House,Mobile,49900,240.0,24.0,8.0,1.0,1.0,2.0,Delivery Available,"Boise, Idaho, United States",https://tinyhouselistings.com/listings/tiny-house-with-master-bedroom-2-lofts,Boise,Idaho,United States,38.0,0.0,172.0
Extremely Affordable 20' New Tiny House,Tiny House,Mobile,35000,160.0,20.0,8.0,1.0,1.0,1.0,Delivery Available,"Boise, Idaho, United States",https://tinyhouselistings.com/listings/extremely-affordable-20-new-tiny-house,Boise,Idaho,United States,38.0,0.0,191.0
A Fresh Adventure,Tiny House,Mobile,50000,160.0,20.0,8.0,1.0,1.0,1.0,Delivery Available,"Spring City, Tennessee, United States",https://tinyhouselistings.com/listings/a-fresh-adventure-tiny_house,Spring City,Tennessee,United States,39.0,0.0,86.0
TheKastleOnWheels,Converted Bus,Mobile,65000,325.0,40.0,8.0,1.0,1.0,0.0,Delivery Available,"Gilroy, California, United States",https://tinyhouselistings.com/listings/thekastleonwheels,Gilroy,California,United States,39.0,0.0,127.0
Comfortable Cozy 24' Tiny House (Entirely Off Grid),Tiny House,Mobile,67000,204.0,24.0,8.6,1.0,2.0,2.0,Delivery Available,"San Diego, California, United States",https://tinyhouselistings.com/listings/comfortable-cozy-24-tiny-house-entirely-off-grid,San Diego,California,United States,39.0,0.0,63.0
2018 Custom built 8’ x 20’ tiny home on wheels,Tiny House,Mobile,35000,160.0,20.0,8.0,1.0,1.0,1.0,Used,"Charleston , South Carolina, United States",https://tinyhouselistings.com/listings/custom-built-8-x-20-tiny-home-on-wheels,Charleston ,South Carolina,United States,40.0,0.0,131.0
Permanent Tiny House On Foundation. Tiny Simplicity.,Tiny House,Stationary,55000,160.0,16.0,10.0,1.0,1.0,1.0,New,"Trinidad, California, United States",https://tinyhouselistings.com/listings/permanent-tiny-house-on-foundation-simplicity,Trinidad,California,United States,40.0,0.0,57.0
8x24 Tiny House Ready For The Simple Life,Tiny House,Mobile,55000,192.0,24.0,8.0,2.0,1.0,1.0,Delivery Available,"Linden, Tennessee, United States",https://tinyhouselistings.com/listings/8x24-tiny-house-ready-for-the-simple-life,Linden,Tennessee,United States,40.0,0.0,29.0
