Name,Type,Foundation,Price,Size,Length,Width,Bedrooms,Bathrooms,Lofts,Misc,Location,Link,City,State,Country,Days on site,Number of views,Times dreamlisted
Wildbound 5' x 8' Tiny Cabin,Tiny House,Mobile,9199,40.0,8.0,5.0,1,0,0,Square Feet,"Pennsburg , Pennsylvania, United States",https://tinyhouselistings.com/listings/wildbound-5-x-8-tiny-cabin,Pennsburg ,Pennsylvania,United States,29,0,56.0
8x24 Custom Tiny House,Tiny House,Mobile,80000,192.0,24.0,8.0,0,1,1,Delivery Available,"Clarkdale, Arizona, United States",https://tinyhouselistings.com/listings/8x24-custom-tiny-house,Clarkdale,Arizona,United States,29,0,3.0
Edna the Tiny Home,Tiny House,Mobile,70000,256.0,32.0,8.0,1,1,1,Square Feet,"North Augusta, South Carolina, United States",https://tinyhouselistings.com/listings/edna-the-tiny-home,North Augusta,South Carolina,United States,22,0,82.0
"Tiny Condo - Affordable, Unique Layout",Tiny House,Stationary,28900,399.0,40.0,12.0,2,2,0,New,"Kennessaw , Georgia, United States",https://tinyhouselistings.com/listings/tiny-condo-affordable-unique-layout-tiny_house,Kennessaw ,Georgia,United States,30,0,51.0
Beautiful vintage school bus conversion,Converted Bus,Mobile,25000,192.0,30.0,8.0,1,0,0,Used,"Durham, North Carolina, United States",https://tinyhouselistings.com/listings/beautiful-vintage-school-bus-conversion,Durham,North Carolina,United States,30,0,43.0
Modern Tiny Living Espresso,Tiny House,Mobile,40000,130.0,20.0,8.0,1,1,1,Used,"New Paris , Ohio, United States",https://tinyhouselistings.com/listings/modern-tiny-living,New Paris ,Ohio,United States,29,0,118.0
12x30 Cabin Shell,Tiny House,Stationary,10381,360.0,30.0,12.0,0,0,0,Square Feet,"Jayton, Texas, United States",https://tinyhouselistings.com/listings/12x30-cabin-shell,Jayton,Texas,United States,31,0,14.0
Tiny House on a 16×8 trailer,Tiny House,Mobile,25000,128.0,16.0,8.0,1,1,0,New,"Bellingham, Washington, United States",https://tinyhouselistings.com/listings/tiny-house-on-a-16x8-trailer,Bellingham,Washington,United States,31,0,58.0
Gooseneck Tiny House- Parking Spot or Shipping Options,Tiny House,Mobile,78000,272.0,32.0,8.5,1,1,0,Delivery Available,"San Antonio, Texas, United States",https://tinyhouselistings.com/listings/custom-gooseneck-tiny-house-tiny_house,San Antonio,Texas,United States,31,0,121.0
Custom 20' PNW Tiny House,Tiny House,Mobile,61999,160.0,20.0,8.0,1,1,1,Delivery Available,"Twisp, Washington, United States",https://tinyhouselistings.com/listings/custom-20-pnw-tiny-house-tiny_house,Twisp,Washington,United States,31,0,36.0
Modern Farmhouse THOW,Tiny House,Mobile,85000,300.0,34.0,8.5,2,1,1,Used,"Senoia, Georgia, United States",https://tinyhouselistings.com/listings/modern-farmhouse-thow,Senoia,Georgia,United States,31,0,175.0
Gardener's Dream Tiny House in Austin,Tiny House,Stationary,99000,399.0,39.0,10.0,1,1,0,Used,"Austin, Texas, United States",https://tinyhouselistings.com/listings/gardener-s-dream-tiny-house-in-austin,Austin,Texas,United States,15,0,38.0
Lil Bear Tiny Homes The LakeShore 24',Tiny House,Mobile,60000,200.0,24.0,8.5,2,1,2,Delivery Available,"Goodar, Michigan, United States",https://tinyhouselistings.com/listings/lil-bear-tiny-homes-the-lakeshore-24,Goodar,Michigan,United States,30,0,37.0
Wonderful 18' Tiny Mountain House for sale!!,Tiny House,Mobile,50000,216.0,18.0,8.6,1,1,1,Square Feet,"Ennis, Montana, United States",https://tinyhouselistings.com/listings/wonderful-18-tiny-mountain-house-for-sale,Ennis,Montana,United States,33,0,88.0
Luxurious Tiny House With Attention To All Details,Tiny House,Mobile,90000,300.0,28.0,8.5,2,1,2,Delivery Available,"Hortonville, Wisconsin, United States",https://tinyhouselistings.com/listings/luxurious-tiny-with-attention-to-details,Hortonville,Wisconsin,United States,34,0,145.0
24' Modern Tiny House With Loft,Tiny House,Mobile,65000,206.0,24.0,8.5,1,1,1,Delivery Available,"Las Vegas, Nevada, United States",https://tinyhouselistings.com/listings/24-modern-tiny-house-with-loft-tiny_house,Las Vegas,Nevada,United States,34,0,123.0
